OrderID,CustomerName,OrderDate,Product,Quantity,UnitPrice,City,Status
1001,Sneha,4/16/2024,Washing Machine,3,31532,Mumbai,Delivered
1002,Ajay,4/10/2024,AC,1,6890,Delhi,Pending
1003,Kiran,1/31/2024,Washing Machine,1,46262,Kolkata,Delivered
1004,Pooja,5/11/2024,Laptop,1,10405,Mumbai,Cancelled
1005,Pooja,2/18/2024,Washing Machine,1,23574,Chennai,Delivered
1006,Anil,1/15/2024,Mobile,2,11764,Kolkata,Delivered
1007,Meena,2/12/2024,Washing Machine,2,37486,Bangalore,Delivered
1008,Divya,4/20/2024,Fridge,5,31010,Chennai,Pending
1009,Anil,6/26/2024,Fridge,5,44439,Bangalore,Delivered
1010,Anil,6/26/2024,Washing Machine,1,16593,Bangalore,Delivered
1011,Pooja,3/11/2024,AC,2,25042,Bangalore,Pending
1012,Meena,1/6/2024,Fridge,2,10479,Chennai,Cancelled
1013,Pooja,1/27/2024,Laptop,3,27480,Mumbai,Pending
1014,Anil,1/13/2024,TV,4,7302,Chennai,Delivered
1015,Kiran,2/18/2024,AC,4,15884,Bangalore,Pending
1016,Divya,3/31/2024,Fridge,2,31289,Delhi,Cancelled
1017,Priya,3/13/2024,Mobile,2,26229,Mumbai,Pending
1018,Kiran,5/1/2024,TV,1,26458,Kolkata,Cancelled
1019,Meena,3/26/2024,TV,2,45426,Delhi,Cancelled
1020,Ajay,3/28/2024,Washing Machine,4,34217,Chennai,Cancelled
1021,Meena,3/5/2024,TV,4,21631,Kolkata,Cancelled
1022,Pooja,3/29/2024,AC,4,42212,Hyderabad,Delivered
1023,Pooja,5/7/2024,Fridge,4,23581,Hyderabad,Delivered
1024,Ravi,2/12/2024,Washing Machine,4,42672,Delhi,Pending
1025,Ravi,1/5/2024,Laptop,5,33671,Bangalore,Delivered
1026,Meena,6/18/2024,Laptop,4,7851,Delhi,Cancelled
1027,Anil,5/8/2024,Mobile,2,42121,Chennai,Delivered
1028,Kiran,4/5/2024,Washing Machine,2,11041,Kolkata,Cancelled
1029,Anil,5/20/2024,TV,5,49035,Delhi,Cancelled
1030,Ajay,4/13/2024,AC,3,42218,Hyderabad,Cancelled
1031,Ravi,5/8/2024,Laptop,1,26482,Mumbai,Cancelled
1032,Kiran,1/19/2024,Laptop,1,23105,Chennai,Pending
1033,Sneha,5/4/2024,Washing Machine,1,21386,Kolkata,Pending
1034,Ajay,6/17/2024,Tablet,3,9320,Kolkata,Delivered
1035,Anil,4/28/2024,Fridge,5,27612,Hyderabad,Cancelled
1036,Kiran,3/30/2024,Fridge,1,42195,Delhi,Delivered
1037,Sneha,6/6/2024,Mobile,4,49132,Hyderabad,Pending
1038,Sneha,1/10/2024,Tablet,2,31952,Delhi,Delivered
1039,Priya,5/23/2024,Laptop,5,21512,Mumbai,Cancelled
1040,Priya,1/8/2024,AC,5,22146,Kolkata,Pending
1041,Priya,5/31/2024,Fridge,1,27239,Delhi,Pending
1042,Ajay,1/28/2024,Laptop,4,31738,Hyderabad,Delivered
1043,Vikram,5/30/2024,AC,5,32142,Bangalore,Cancelled
1044,Anil,1/17/2024,Laptop,5,9498,Mumbai,Delivered
1045,Vikram,5/7/2024,Laptop,4,45353,Bangalore,Pending
1046,Sneha,5/21/2024,Mobile,5,9642,Hyderabad,Pending
1047,Sneha,3/14/2024,Laptop,5,30214,Chennai,Delivered
1048,Ajay,3/6/2024,Fridge,5,19719,Kolkata,Delivered
1049,Vikram,4/6/2024,Fridge,4,34448,Delhi,Pending
1050,Pooja,5/18/2024,AC,5,35163,Delhi,Pending
1051,Meena,6/25/2024,Washing Machine,2,21282,Chennai,Cancelled
1052,Priya,1/28/2024,Fridge,2,11099,Chennai,Delivered
1053,Kiran,6/25/2024,Tablet,2,46739,Mumbai,Pending
1054,Divya,3/16/2024,Fridge,5,48331,Bangalore,Pending
1055,Kiran,3/22/2024,Mobile,3,16557,Hyderabad,Delivered
1056,Priya,1/29/2024,Fridge,5,21310,Mumbai,Cancelled
1057,Divya,4/9/2024,Washing Machine,4,43845,Chennai,Cancelled
1058,Vikram,5/6/2024,TV,1,29099,Mumbai,Delivered
1059,Kiran,6/28/2024,Fridge,3,20724,Kolkata,Delivered
1060,Meena,5/9/2024,Tablet,3,12425,Mumbai,Pending
1061,Sneha,3/13/2024,Tablet,1,19383,Delhi,Delivered
1062,Divya,3/25/2024,TV,2,14758,Mumbai,Pending
1063,Pooja,6/24/2024,Washing Machine,5,5403,Kolkata,Delivered
1064,Kiran,2/7/2024,Mobile,1,9848,Bangalore,Pending
1065,Ajay,6/18/2024,TV,2,24564,Delhi,Delivered
1066,Vikram,3/10/2024,Tablet,4,13503,Kolkata,Pending
1067,Pooja,2/8/2024,Washing Machine,1,6384,Delhi,Delivered
1068,Pooja,4/25/2024,Tablet,2,49301,Kolkata,Pending
1069,Vikram,4/17/2024,TV,3,14755,Delhi,Pending
1070,Sneha,1/19/2024,Tablet,3,25995,Mumbai,Delivered
1071,Priya,3/15/2024,Mobile,3,6626,Mumbai,Cancelled
1072,Sneha,3/2/2024,Tablet,5,36714,Mumbai,Cancelled
1073,Pooja,5/7/2024,Fridge,3,16198,Kolkata,Pending
1074,Ravi,6/12/2024,Laptop,3,30094,Delhi,Cancelled
1075,Pooja,3/3/2024,TV,5,11105,Delhi,Delivered
1076,Anil,3/5/2024,Fridge,1,38071,Mumbai,Delivered
1077,Vikram,1/25/2024,Fridge,5,38070,Chennai,Delivered
1078,Priya,4/2/2024,Fridge,5,26864,Hyderabad,Cancelled
1079,Ajay,6/24/2024,Mobile,5,9613,Mumbai,Pending
1080,Ajay,3/21/2024,TV,1,29421,Kolkata,Cancelled
1081,Kiran,4/14/2024,Mobile,1,5036,Hyderabad,Cancelled
1082,Divya,1/5/2024,Fridge,1,48698,Bangalore,Pending
1083,Meena,3/10/2024,Mobile,4,22264,Bangalore,Cancelled
1084,Pooja,3/16/2024,Washing Machine,4,24292,Hyderabad,Pending
1085,Sneha,3/31/2024,Tablet,5,30782,Bangalore,Pending
1086,Sneha,1/5/2024,Mobile,3,12117,Kolkata,Cancelled
1087,Ajay,3/4/2024,Tablet,3,11460,Mumbai,Pending
1088,Ajay,4/19/2024,Washing Machine,3,22092,Chennai,Delivered
1089,Sneha,3/21/2024,Washing Machine,3,15382,Bangalore,Cancelled
1090,Pooja,6/4/2024,Fridge,4,24589,Hyderabad,Delivered
1091,Vikram,5/5/2024,AC,5,21925,Hyderabad,Cancelled
1092,Pooja,5/22/2024,Fridge,3,19997,Chennai,Pending
1093,Pooja,6/2/2024,Tablet,5,40744,Hyderabad,Cancelled
1094,Anil,4/10/2024,Tablet,3,38905,Bangalore,Cancelled
1095,Ajay,4/7/2024,Laptop,4,9243,Hyderabad,Cancelled
1096,Priya,1/5/2024,Mobile,1,10922,Kolkata,Delivered
1097,Anil,1/20/2024,TV,3,45765,Bangalore,Pending
1098,Vikram,3/6/2024,Mobile,4,11336,Chennai,Cancelled
1099,Kiran,5/25/2024,Mobile,2,19711,Hyderabad,Delivered
1100,Vikram,6/17/2024,Laptop,3,35392,Kolkata,Pending
1101,Anil,4/12/2024,TV,4,27037,Hyderabad,Delivered
1102,Priya,6/9/2024,Fridge,4,34979,Mumbai,Cancelled
1103,Ajay,4/13/2024,Fridge,2,24264,Mumbai,Pending
1104,Sneha,6/19/2024,Fridge,5,16538,Mumbai,Cancelled
1105,Pooja,1/12/2024,Mobile,1,19306,Chennai,Cancelled
1106,Divya,4/22/2024,Washing Machine,1,16004,Mumbai,Cancelled
1107,Vikram,4/19/2024,TV,3,15239,Kolkata,Cancelled
1108,Ajay,3/16/2024,AC,2,15747,Bangalore,Pending
1109,Ajay,4/10/2024,AC,4,25454,Kolkata,Delivered
1110,Pooja,1/30/2024,Tablet,3,48280,Mumbai,Delivered
1111,Kiran,3/17/2024,Washing Machine,4,45365,Hyderabad,Delivered
1112,Kiran,6/1/2024,Tablet,3,22204,Bangalore,Cancelled
1113,Anil,6/21/2024,TV,2,15580,Chennai,Pending
1114,Anil,1/8/2024,Tablet,4,48770,Chennai,Delivered
1115,Divya,2/11/2024,Mobile,5,40782,Kolkata,Pending
1116,Meena,6/10/2024,Fridge,2,28749,Chennai,Cancelled
1117,Pooja,4/14/2024,TV,3,34905,Kolkata,Cancelled
1118,Kiran,4/27/2024,Tablet,4,16285,Kolkata,Pending
1119,Kiran,5/20/2024,Washing Machine,4,41883,Chennai,Cancelled
1120,Kiran,6/3/2024,Tablet,2,33537,Bangalore,Pending
1121,Ravi,5/24/2024,Fridge,2,43591,Hyderabad,Delivered
1122,Vikram,2/10/2024,Tablet,4,9626,Bangalore,Cancelled
1123,Sneha,6/5/2024,Laptop,1,44330,Delhi,Pending
1124,Ravi,2/25/2024,Mobile,5,9111,Chennai,Pending
1125,Sneha,2/9/2024,AC,4,32540,Chennai,Cancelled
1126,Priya,3/25/2024,Fridge,4,49145,Hyderabad,Pending
1127,Ravi,1/7/2024,Mobile,1,47001,Hyderabad,Delivered
1128,Pooja,6/11/2024,AC,4,49164,Kolkata,Delivered
1129,Kiran,1/17/2024,AC,2,28513,Kolkata,Pending
1130,Anil,1/7/2024,Washing Machine,5,24724,Mumbai,Delivered
1131,Pooja,1/7/2024,Mobile,5,32234,Hyderabad,Pending
1132,Pooja,3/14/2024,AC,1,36958,Delhi,Cancelled
1133,Meena,4/8/2024,Tablet,4,22831,Kolkata,Pending
1134,Kiran,4/29/2024,Fridge,5,39994,Mumbai,Pending
1135,Meena,2/20/2024,Mobile,3,49725,Delhi,Pending
1136,Sneha,6/17/2024,Laptop,1,38577,Mumbai,Pending
1137,Ajay,1/6/2024,Washing Machine,5,23056,Chennai,Pending
1138,Vikram,3/21/2024,TV,3,46184,Bangalore,Cancelled
1139,Vikram,6/18/2024,Washing Machine,3,38779,Mumbai,Delivered
1140,Kiran,2/4/2024,TV,4,39372,Mumbai,Pending
1141,Pooja,4/15/2024,AC,4,22287,Delhi,Cancelled
1142,Meena,1/28/2024,AC,5,9366,Bangalore,Pending
1143,Sneha,1/21/2024,Tablet,1,42047,Delhi,Cancelled
1144,Pooja,4/19/2024,Laptop,3,36526,Hyderabad,Pending
1145,Sneha,1/25/2024,Tablet,2,19625,Delhi,Cancelled
1146,Sneha,1/27/2024,AC,5,40028,Bangalore,Pending
1147,Kiran,1/6/2024,Laptop,5,25481,Mumbai,Delivered
1148,Pooja,4/22/2024,Laptop,1,29981,Kolkata,Cancelled
1149,Ravi,2/3/2024,Fridge,3,26455,Mumbai,Delivered
1150,Ravi,3/22/2024,TV,5,46835,Kolkata,Pending
1151,Pooja,2/9/2024,Washing Machine,3,37913,Hyderabad,Delivered
1152,Anil,4/2/2024,Tablet,4,9582,Hyderabad,Delivered
1153,Kiran,2/15/2024,Mobile,3,34388,Chennai,Pending
1154,Sneha,4/4/2024,Tablet,4,12053,Bangalore,Pending
1155,Priya,5/15/2024,Washing Machine,4,47361,Mumbai,Pending
1156,Kiran,4/21/2024,AC,2,45577,Kolkata,Pending
1157,Meena,3/13/2024,Fridge,2,37393,Mumbai,Pending
1158,Meena,3/20/2024,TV,5,40149,Mumbai,Delivered
1159,Anil,2/22/2024,AC,4,42067,Mumbai,Pending
1160,Vikram,6/10/2024,Tablet,1,42777,Bangalore,Delivered
1161,Sneha,6/24/2024,Laptop,3,30343,Hyderabad,Delivered
1162,Ajay,3/14/2024,Laptop,3,29057,Bangalore,Pending
1163,Ravi,3/20/2024,Tablet,2,27513,Hyderabad,Delivered
1164,Anil,4/29/2024,AC,2,30421,Kolkata,Pending
1165,Anil,1/6/2024,Washing Machine,4,41072,Kolkata,Pending
1166,Kiran,5/7/2024,Mobile,1,23407,Delhi,Delivered
1167,Meena,6/9/2024,Fridge,5,37161,Kolkata,Cancelled
1168,Ravi,1/10/2024,Laptop,5,49337,Delhi,Delivered
1169,Ajay,6/5/2024,Tablet,4,46565,Delhi,Cancelled
1170,Priya,3/3/2024,Fridge,2,30957,Kolkata,Pending
1171,Kiran,6/5/2024,Laptop,3,9423,Delhi,Pending
1172,Pooja,5/11/2024,Fridge,4,45329,Kolkata,Delivered
1173,Vikram,3/18/2024,Fridge,4,12717,Delhi,Delivered
1174,Divya,2/7/2024,AC,4,17610,Chennai,Delivered
1175,Vikram,6/16/2024,Washing Machine,2,12548,Kolkata,Cancelled
1176,Vikram,2/23/2024,Laptop,5,37468,Hyderabad,Cancelled
1177,Ajay,1/28/2024,AC,4,24011,Mumbai,Pending
1178,Meena,5/28/2024,TV,3,38615,Chennai,Delivered
1179,Ravi,2/13/2024,AC,1,21170,Kolkata,Delivered
1180,Anil,3/14/2024,AC,5,48511,Delhi,Delivered
1181,Sneha,3/28/2024,Washing Machine,5,43427,Delhi,Pending
1182,Anil,5/5/2024,Washing Machine,4,46471,Hyderabad,Cancelled
1183,Anil,3/6/2024,Washing Machine,4,39572,Mumbai,Delivered
1184,Kiran,4/12/2024,Tablet,3,34083,Bangalore,Pending
1185,Ravi,1/9/2024,Laptop,2,41490,Mumbai,Pending
1186,Sneha,1/29/2024,Fridge,5,16284,Kolkata,Delivered
1187,Anil,5/27/2024,Tablet,4,29343,Mumbai,Pending
1188,Ravi,1/23/2024,Fridge,2,9171,Bangalore,Cancelled
1189,Meena,3/23/2024,Mobile,3,33147,Kolkata,Delivered
1190,Sneha,1/21/2024,AC,1,33563,Kolkata,Delivered
1191,Priya,3/31/2024,Mobile,4,11543,Chennai,Pending
1192,Anil,1/15/2024,AC,2,33215,Mumbai,Cancelled
1193,Sneha,1/5/2024,Mobile,1,35227,Chennai,Pending
1194,Kiran,5/14/2024,TV,5,32848,Bangalore,Pending
1195,Sneha,2/7/2024,Fridge,4,8525,Mumbai,Cancelled
1196,Vikram,5/7/2024,Laptop,2,23222,Hyderabad,Cancelled
